rank,feature,final_score,xgb_weighted,paper_avg,consistency_score,class_count,method_count
1,ACK Flag Count,0.305145115069683,0.21095856332238866,0.2419375659795707,0.496,7,2
2,min_seg_size_forward,0.2025498238137713,0.06013787450397904,0.041756844721786084,0.552,9,2
3,Max Packet Length,0.20064302671275464,0.026933399861621955,0.2047535670388337,0.43999999999999995,5,2
4,Average Packet Size,0.15452520987699753,0.12007483051301626,0.0010492180768954108,0.346,7,1
5,Init_Win_bytes_forward,0.1413851321592889,0.008818805858955184,0.020290120351884856,0.43999999999999995,5,2
6,Min Packet Length,0.12044765524779827,0.05921968168812229,0.000626389067096154,0.31799999999999995,6,1
7,Fwd Packets/s,0.11787687074172022,0.006962886237737947,0.09983020900667959,0.29,5,1
8,Fwd Packet Length Max,0.11318050329338332,0.007041083646266382,0.022940172006969455,0.346,7,1
9,Fwd Packet Length Std,0.10771907538418861,0.006147089453581178,0.06477606362030185,0.29,5,1
10,act_data_pkt_fwd,0.10582918904723797,0.10483140249342376,0.0,0.206,2,1
11,Protocol,0.10501186150241959,0.0039669439358988355,0.028377660890507476,0.31799999999999995,6,1
12,Inbound,0.09824432770922269,0.0667722088314826,0.0,0.23399999999999999,3,1
13,Flow IAT Min,0.09774955695371747,0.005620019801017836,0.029961245133178497,0.29,5,1
14,Packet Length Mean,0.09594484906661478,0.04129725968241614,0.0,0.262,4,1
15,Fwd Header Length,0.09469001904365151,0.01371285867248783,0.00689506571859513,0.29,5,1
16,Source Port,0.08995953643128846,0.03418937245544872,0.0,0.252,9,0
17,Fwd Packet Length Mean,0.08986763703249269,0.0468277072202207,0.0,0.23399999999999999,3,1
18,Destination Port,0.08973741097785129,0.0032957689879105786,0.06483281429617443,0.23399999999999999,3,1
19,Packet Length Std,0.08708064172384158,0.0015555449744313649,0.02795468869493,0.262,4,1
20,Total Length of Fwd Packets,0.07987614337125387,0.005206626384593359,0.026747715320445207,0.23399999999999999,3,1
21,Subflow Fwd Bytes,0.0686521149059147,0.0035899206565658762,0.04908695796484655,0.178,1,1
22,Fwd IAT Total,0.06723743414757784,0.012751211552112805,0.0002925903417516682,0.206,2,1
23,Idle Std,0.06317866683601626,0.02328254008575303,0.0,0.178,1,1
24,Fwd IAT Mean,0.05967836134613864,0.0015843441047096605,0.020046202936287796,0.178,1,1
25,Fwd IAT Max,0.05811267377817074,0.0014622001284683122,0.01463767758647875,0.178,1,1
26,Flow IAT Max,0.05763081623356094,0.001896135130052589,0.012265855281924504,0.178,1,1
27,Flow IAT Mean,0.057539673505748,0.0019960758001674747,0.011790434534563089,0.178,1,1
28,Init_Win_bytes_backward,0.05698687688106323,0.008540183050150557,0.0,0.178,1,1
29,Avg Fwd Segment Size,0.05628610917780456,0.026871688518582282,0.0,0.15,0,1
30,URG Flag Count,0.04860903830180842,0.008592948337639099,0.0,0.15,0,1
31,Fwd Packet Length Min,0.04227649059885921,0.019725054563374093,0.0013998845794360724,0.11199999999999999,4,0
32,Flow Duration,0.03572390538831824,0.004917198443800822,0.00020957872114961876,0.11199999999999999,4,0
33,Fwd IAT Min,0.03547337815489953,0.0044604241783322155,0.0,0.11199999999999999,4,0
34,Flow Bytes/s,0.030155884567279637,0.011799725160189622,0.0,0.08399999999999999,3,0
35,Total Fwd Packets,0.018834390811220438,0.004843787645762954,0.0,0.055999999999999994,2,0
36,Active Mean,0.009220544751218763,0.001953677979092296,0.0,0.027999999999999997,1,0
37,Fwd IAT Std,0.00912836291539892,0.0017341974176164792,0.0,0.027999999999999997,1,0
38,CWE Flag Count,0.0014003025614979874,0.003334053717852352,0.0,0.0,0,0
39,Flow Packets/s,0.0012633194060668509,0.0030079033477782165,0.0,0.0,0,0
40,Bwd Packet Length Min,0.0011354575327287345,0.0027034703160207967,0.0,0.0,0,0
41,Subflow Fwd Packets,0.0010529403970863398,0.002507000945443666,0.0,0.0,0,0
42,Bwd Packets/s,0.0005598502793718299,0.0013329768556472141,0.0,0.0,0,0
43,Down/Up Ratio,0.0005281557875797679,0.0012575137799518284,0.0,0.0,0,0
44,Flow IAT Std,0.0004945265854665427,0.001177444251110816,0.0,0.0,0,0
45,Idle Min,0.0004911573261616778,0.001169422205146852,0.0,0.0,0,0
46,Bwd IAT Mean,0.000372691411868496,0.0008873605044488,0.0,0.0,0,0
47,Idle Mean,0.00035868792052440123,0.0008540188583914315,0.0,0.0,0,0
48,Bwd IAT Min,0.00034516573908560677,0.0008218231882990638,0.0,0.0,0,0
49,Total Backward Packets,0.0003299785156734514,0.0007856631325558368,0.0,0.0,0,0
50,Bwd Header Length,0.0003215829264912534,0.0007656736345029844,0.0,0.0,0,0
