,xgb_global,xgb_benign,xgb_DrDoS_DNS,xgb_DrDoS_LDAP,xgb_DrDoS_MSSQL,xgb_DrDoS_NetBIOS,xgb_DrDoS_NTP,xgb_DrDoS_SNMP,xgb_DrDoS_SSDP,xgb_DrDoS_UDP,xgb_Syn,xgb_TFTP,xgb_UDPLag,paper_UDPLag,paper_TFTP,paper_WebDDoS,paper_DrDoS_DNS,paper_benign,paper_DrDoS_MSSQL,paper_DrDoS_LDAP,paper_DrDoS_NetBIOS,paper_DrDoS_NTP,paper_DrDoS_SSDP,paper_DrDoS_SNMP,paper_Syn,paper_DrDoS_UDP,xgb_weighted,paper_avg,combined_score,method_count,class_count,consistency_score,final_score,category,feature_name
Max Packet Length,0.021496801545066453,0.00016767397559771974,0.008027700129968467,0.0015249601560811475,0.005311113357593738,0.009484531333855501,0.008219025993424781,0.29008213464392063,0.02429558524538541,0.006826619605461296,0.002812466636336941,0.005103849597377721,0.004837924196904156,0.0,0.0,0.0,0.8872589312958085,0.0,0.0,0.8872812810825706,0.0,0.0,0.0,0.8872561591264589,0.0,0.0,0.026933399861621955,0.2047535670388337,0.09806146673250665,2,5,0.43999999999999995,0.20064302671275464,Packet_Size,Max Packet Length
Average Packet Size,0.035129358716167715,0.0,0.022505040364356608,0.48720148596859725,0.6488238569829413,0.6205630518438194,0.008412759993269793,0.12092573942988112,0.13298851134318396,0.007836862006269488,0.0,0.007085761941032585,0.06411867065763235,0.0,0.0,0.0,0.004552828062047364,0.0,0.0,0.004533847335948231,0.0,0.0,0.0,0.0045531596016447455,0.0,0.0,0.12007483051301626,0.0010492180768954108,0.07246458553856792,1,7,0.346,0.15452520987699753,Packet_Size,Average Packet Size
Min Packet Length,0.03371695785418703,0.003551285406761001,0.00684008211074093,0.2738235921138806,0.01431499308099325,0.003405096119859383,0.0028836769976930588,0.015083104681585822,0.4753515448010506,0.018453695014762954,0.0,0.0028983087713640144,0.09805259183025805,0.0,0.0,0.0,0.002714260805669201,0.0,0.0,0.0027132286032182542,0.0,0.0,0.0,0.002715568463362546,0.0,0.0,0.05921968168812229,0.000626389067096154,0.035782364639711836,1,6,0.31799999999999995,0.12044765524779827,Packet_Size,Min Packet Length
Fwd Packet Length Max,0.0048509375652286526,0.00012353785675651356,0.010363832167790445,0.0014379495585870527,0.004223346061469295,0.036531867285921726,0.005163237495869411,0.0003682068178150421,0.007107633671787099,0.01445376201156301,0.0,0.006549894783305,0.01569090469263382,0.0,0.0,0.0,0.0994071749269866,0.0,0.0,0.09940800392026482,0.0,0.0,0.0,0.09940705724335146,0.0,0.0,0.007041083646266382,0.022940172006969455,0.01340071899054761,1,7,0.346,0.11318050329338332,Packet_Size,Fwd Packet Length Max
Fwd Packet Length Std,0.009623709425510512,0.0,0.0024320018393741098,0.0,0.00185295313408745,0.0,0.032030567974375555,0.0,0.0,0.006212828004970262,0.0,0.0,0.0034237627147320903,0.0,0.0,0.04869103753654785,0.0,0.041117966663597016,0.0,0.0,0.0,0.0064783296576853,0.383183568677792,0.0,0.0,0.3626179245283019,0.006147089453581178,0.06477606362030185,0.029598679120269446,1,5,0.29,0.10771907538418861,Packet_Size,Fwd Packet Length Std
Packet Length Mean,0.03822668748926309,0.0,0.10973614677662823,0.0016891998513510445,0.007078113276183824,0.0010507425369861373,0.006552298594758162,0.1308950885584603,0.003544317335797605,0.035963282028770624,0.0,0.0016935232664047237,0.22192898150887724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04129725968241614,0.0,0.024778355809449683,1,4,0.262,0.09594484906661478,Packet_Size,Packet Length Mean
Fwd Packet Length Mean,0.036996706842002985,0.0018777771506989607,0.17497720283288093,0.0012534794638997915,0.00730720061748827,0.0012175844428589722,0.0012416886990066491,0.43075093234806106,0.010940074110494748,0.006190357704952286,0.0,0.0,0.004824192298048298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0468277072202207,0.0,0.02809662433213242,1,3,0.23399999999999999,0.08986763703249269,Packet_Size,Fwd Packet Length Mean
Packet Length Std,0.002459338305341829,7.521079802534048e-05,0.0023811364385505993,0.0,0.0024703780454091613,0.0,0.0014150323988679743,0.0,0.0,0.003441606602753285,0.0,0.0,0.0016528287622863075,0.0,0.0,0.0349507343372374,0.0,0.03863154986647021,0.0,0.0,0.0,0.0,0.1489088575096277,0.0,0.0,0.1409198113207547,0.0015555449744313649,0.02795468869493,0.012115202462630821,1,4,0.262,0.08708064172384158,Packet_Size,Packet Length Std
Total Length of Fwd Packets,0.004967379539989667,0.00044103568842060795,0.010480752169683378,0.0012687188634608968,0.009586444728435985,0.0017519438616684238,0.0005134346395892524,0.007441707349520361,0.008547233086327053,0.00849256400679405,0.0,6.983629449089407e-05,0.01579982068355894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34772029916578767,0.0,0.0,0.0,0.0,0.005206626384593359,0.026747715320445207,0.013823061958934098,1,3,0.23399999999999999,0.07987614337125387,Packet_Size,Total Length of Fwd Packets
Avg Fwd Segment Size,0.0671792212964557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026871688518582282,0.0,0.01612301311114937,1,0,0.15,0.05628610917780456,Packet_Size,Avg Fwd Segment Size
