,xgb_global,xgb_benign,xgb_DrDoS_DNS,xgb_DrDoS_LDAP,xgb_DrDoS_MSSQL,xgb_DrDoS_NetBIOS,xgb_DrDoS_NTP,xgb_DrDoS_SNMP,xgb_DrDoS_SSDP,xgb_DrDoS_UDP,xgb_Syn,xgb_TFTP,xgb_UDPLag,paper_UDPLag,paper_TFTP,paper_WebDDoS,paper_DrDoS_DNS,paper_benign,paper_DrDoS_MSSQL,paper_DrDoS_LDAP,paper_DrDoS_NetBIOS,paper_DrDoS_NTP,paper_DrDoS_SSDP,paper_DrDoS_SNMP,paper_Syn,paper_DrDoS_UDP,xgb_weighted,paper_avg,combined_score,method_count,class_count,consistency_score,final_score,category,feature_name
ACK Flag Count,0.3232138051988961,0.001604369557877277,0.007393541119701432,0.0,0.0,0.0,0.011242559991005954,0.0,0.0,0.0,0.8022933533129452,0.8099937361028342,0.0009332647722403792,0.9693143444428131,0.0,0.7434805387956531,0.0,0.4609310249562575,0.0,0.0,0.0,0.0,0.0,0.0,0.9714624495396955,0.0,0.21095856332238866,0.2419375659795707,0.22335016438526148,2,7,0.496,0.305145115069683,TCP_Flags,ACK Flag Count
URG Flag Count,0.019898890699856835,0.0010405969726791264,0.007833968126831944,0.0012220078648061737,0.0,0.0,0.002010026698391979,0.0,0.0005112283451634063,0.0,0.0,5.001314605466296e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008592948337639099,0.0,0.005155769002583459,1,0,0.15,0.04860903830180842,TCP_Flags,URG Flag Count
CWE Flag Count,0.0075010753199531485,3.9754306956250666e-05,0.0035738265578602523,0.000276893922025455,0.0011750717118654294,0.0,0.00160692529871446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003334053717852352,0.0,0.002000432230711411,0,0,0.0,0.0014003025614979874,TCP_Flags,CWE Flag Count
Fwd PSH Flags,0.0010184062309114461,0.0,0.0005568086690147324,0.0,0.0,0.0,0.000981127699215098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048425931077607,0.0,0.00029055558646564196,0,0,0.0,0.00020338891052594935,TCP_Flags,Fwd PSH Flags
SYN Flag Count,0.00012030721071087789,0.00012891758661526874,0.0020673047334696638,0.00020701930403784405,0.0,0.0,0.0005325931995739256,0.0,0.0007424277074985198,0.0,0.0,0.000166877506835701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024037988618589733,0.0,0.00014422793171153838,0,0,0.0,0.00010095955219807686,TCP_Flags,SYN Flag Count
RST Flag Count,0.0005390757789005826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021563031156023304,0.0,0.0001293781869361398,0,0,0.0,9.056473085529785e-05,TCP_Flags,RST Flag Count
PSH Flag Count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,TCP_Flags,PSH Flag Count
FIN Flag Count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,TCP_Flags,FIN Flag Count
ECE Flag Count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,TCP_Flags,ECE Flag Count
Bwd PSH Flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,TCP_Flags,Bwd PSH Flags
Fwd URG Flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,TCP_Flags,Fwd URG Flags
Bwd URG Flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,TCP_Flags,Bwd URG Flags
