feature,importance
 Min Packet Length,0.47535154
 Average Packet Size,0.13298851
Flow Bytes/s,0.114942774
Fwd Packets/s,0.07268831
 Fwd Packet Length Min,0.05496262
 Source Port,0.026463835
 Max Packet Length,0.024295585
 Fwd Packet Length Mean,0.010940074
Total Length of Fwd Packets,0.008547233
 min_seg_size_forward,0.008089288
 Flow IAT Max,0.007758542
 Fwd Packet Length Max,0.0071076336
 Flow IAT Mean,0.0067635006
 Flow IAT Min,0.0066069695
Fwd IAT Total,0.006238559
 Fwd Header Length,0.005704209
 Packet Length Mean,0.0035443173
 Flow IAT Std,0.0032077958
 Total Fwd Packets,0.0031863449
 Fwd IAT Mean,0.0029134222
Init_Win_bytes_forward,0.0028063857
 Flow Duration,0.0027365915
 Fwd IAT Min,0.0021767814
 Fwd IAT Std,0.0020738477
 Fwd IAT Max,0.0019834624
 Destination Port,0.0015563286
 Flow Packets/s,0.0013415612
 SYN Flag Count,0.0007424277
 Inbound,0.0006429252
 Init_Win_bytes_backward,0.0005677238
 Bwd Header Length,0.00055966346
 URG Flag Count,0.00051122834
 Total Length of Bwd Packets,0.0
 Bwd Packet Length Std,0.0
 Bwd Packet Length Mean,0.0
 Bwd Packet Length Min,0.0
Bwd Packet Length Max,0.0
 Fwd Packet Length Std,0.0
 Protocol,0.0
 Total Backward Packets,0.0
 Bwd IAT Min,0.0
 Bwd Packets/s,0.0
 Bwd PSH Flags,0.0
Fwd PSH Flags,0.0
 Bwd IAT Std,0.0
 Bwd IAT Mean,0.0
Bwd IAT Total,0.0
 Bwd IAT Max,0.0
 Bwd URG Flags,0.0
 PSH Flag Count,0.0
 RST Flag Count,0.0
FIN Flag Count,0.0
 Packet Length Variance,0.0
 Packet Length Std,0.0
 Fwd URG Flags,0.0
 CWE Flag Count,0.0
 ACK Flag Count,0.0
 Fwd Header Length.1,0.0
Fwd Avg Bytes/Bulk,0.0
 Fwd Avg Packets/Bulk,0.0
 Fwd Avg Bulk Rate,0.0
 ECE Flag Count,0.0
 Down/Up Ratio,0.0
 Avg Fwd Segment Size,0.0
 Avg Bwd Segment Size,0.0
Subflow Fwd Packets,0.0
Bwd Avg Bulk Rate,0.0
 Bwd Avg Packets/Bulk,0.0
 Bwd Avg Bytes/Bulk,0.0
 Subflow Bwd Bytes,0.0
 Subflow Bwd Packets,0.0
 act_data_pkt_fwd,0.0
 Subflow Fwd Bytes,0.0
Active Mean,0.0
 Active Std,0.0
 Active Min,0.0
 Active Max,0.0
Idle Mean,0.0
 Idle Std,0.0
 Idle Max,0.0
 Idle Min,0.0
