,global,benign_feature_importance,DrDoS_DNS_feature_importance,DrDoS_LDAP_feature_importance,DrDoS_MSSQL_feature_importance,DrDoS_NetBIOS_feature_importance,DrDoS_NTP_feature_importance,DrDoS_SNMP_feature_importance,DrDoS_SSDP_feature_importance,DrDoS_UDP_feature_importance,Syn_feature_importance,TFTP_feature_importance,UDPLag_feature_importance,weighted_avg
ACK Flag Count,0.32093663476385415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12837465390554167
act_data_pkt_fwd,0.14895842292834782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059583369171339134
Avg Fwd Segment Size,0.0667059168332033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026682366733281324
Inbound,0.05292566748740686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021170266994962744
Idle Std,0.0422547099939999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01690188399759996
Packet Length Mean,0.037957365198012044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015182946079204819
Fwd Packet Length Mean,0.03673605025599275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0146944201023971
Average Packet Size,0.034881858344018656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013952743337607463
Min Packet Length,0.033479408410598564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013391763364239426
Max Packet Length,0.02134534798665095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00853813919466038
URG Flag Count,0.01975869506197571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007903478024790285
Init_Win_bytes_forward,0.01745178917149376,0.0027995259264984463,0.0036100398584465463,0.0009526199725645449,0.0025008297508996046,0.0,0.005375616295699507,0.0,0.0028063857283444956,0.0,0.006622135214644707,0.011104033124047244,0.0,0.00876927496215476
Init_Win_bytes_backward,0.014861307294474296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005944522917789719
Fwd IAT Total,0.012809813391866917,7.020339815680977e-05,0.06162278799767295,0.0077387287771246115,0.002525313055313944,0.0,0.0636122599491102,0.0,0.006238559063009447,0.005223839504179071,0.0013617518207569377,0.000401659268314707,0.003023496148082301,0.012714855305832815
min_seg_size_forward,0.010884951483247812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004353980593299125
Fwd Packet Length Std,0.009555906546342892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003822362618537157
Subflow Fwd Bytes,0.008911570576932098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035646282307728394
Fwd Packet Length Min,0.00873464358533153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003493857434132612
Source Port,0.007867559626495473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031470238505981896
CWE Flag Count,0.007448227246402859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002979290898561144
Unnamed: 0,0.007045399665526696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028181598662106785
Subflow Fwd Packets,0.0062233453045529045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002489338121821162
Bwd Packet Length Min,0.006002100415056284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002400840166022514
Total Length of Fwd Packets,0.0049323823658400795,0.00044103568842060795,0.01048075216968338,0.0012687188634608968,0.009586444728435986,0.001751943861668424,0.0005134346395892523,0.007441707349520361,0.008547233086327053,0.00849256400679405,0.0,6.983629449089407e-05,0.01579982068355894,0.005192627514933524
Fwd Packet Length Max,0.004816760771329099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00192670430853164
Flow Bytes/s,0.004680670777789835,0.00045569155803581806,0.02360043938209112,0.0064080838154471865,0.030458070491590113,0.009682205340813628,0.0015085467987931624,0.00024409767866342193,0.11494277516092202,0.004649820703719856,0.00025782313499675614,0.0008028311966678583,0.005273062260648453,0.011786440687235403
Total Fwd Packets,0.004416611790325772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017666447161303089
Fwd IAT Min,0.003567409330640809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014269637322563238
Protocol,0.003075997653970087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012303990615880349
Flow Packets/s,0.0028379537652709827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011351815061083931
Fwd Header Length.1,0.0027213155708082646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010885262283233058
Packet Length Std,0.0024420112840679562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009768045136271826
Fwd Header Length,0.002259997592708874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009039990370835496
Down/Up Ratio,0.0021637828972765703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008655131589106282
Flow Duration,0.0021098457998371804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008439383199348722
Fwd Packets/s,0.002081575701179275,0.00046971764766756306,0.012918686209153533,0.002694564322396548,0.021139431811439558,0.001594901056140517,0.0014426693988458645,5.426286825688269e-05,0.07268831073415194,0.002184765201747812,0.0028231752357137864,0.002133740631677737,0.0023427373048031277,0.006956978401571453
Bwd Packets/s,0.001787079915160168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007148319660640673
Destination Port,0.0016172362232233276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006468944892893311
Idle Mean,0.0015270079275068256,0.00037676054010815196,0.0,0.0,0.000638953815203373,0.0,0.00015111428987910855,0.0,0.0,0.0,0.00285364603394063,0.0007571613402705706,0.0,0.000849684971972822
Idle Max,0.001370410134941149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005481640539764597
Flow IAT Min,0.0013437848362051587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005375139344820636
Active Mean,0.0011903518434892364,0.026232560311264128,0.0,0.0,0.0030608343518684343,0.0,0.0,0.0,0.0,0.0,8.711644493051983e-05,0.00010266564590111786,0.0,0.0019502995750939045
Bwd Header Length,0.0010547355499274844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004218942199709938
Bwd Packet Length Max,0.001045004150389473,0.0,0.0,0.0,0.0019541200523278458,0.0,0.00025636529979490775,0.0,0.0,0.0,0.0,0.0,0.0,0.0005285259277619269
Fwd PSH Flags,0.0010112311519928122,0.0,0.0005568086690147324,0.0,0.0,0.0,0.0009811276992150978,0.0,0.0,0.0,0.0,0.0,0.0,0.0004813892792086164
Fwd IAT Max,0.0009957929527257253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00039831718109029014
Flow IAT Mean,0.0009517046548187731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003806818619275093
Packet Length Variance,0.0009294738558741581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037178954234966325
Total Backward Packets,0.0008372321602532404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003348928641012962
Fwd IAT Std,0.0007795035629938478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031180142519753913
Bwd IAT Min,0.000729281965378068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002917127861512272
Flow IAT Std,0.000673208408040104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002692833632160416
Avg Bwd Segment Size,0.0006349223198576977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002539689279430791
Flow IAT Max,0.0005847996722372203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023391986889488814
Bwd IAT Std,0.0005823649723528053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023294598894112214
Fwd IAT Mean,0.000536138874547343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002144555498189372
RST Flag Count,0.0005352777745882229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021411110983528918
Bwd IAT Mean,0.0004641736279638212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001856694511855285
Active Min,0.00041294332039592873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001651773281583715
Subflow Bwd Packets,0.000351441083315686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001405764333262744
Total Length of Bwd Packets,0.0003451985636120434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013807942544481736
Bwd Packet Length Std,0.0003317594642500512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001327037857000205
Idle Min,0.00032012826480223074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001280513059208923
Bwd IAT Max,0.0002952160859849115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011808643439396461
Bwd Packet Length Mean,0.0002216147694790604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.864590779162417e-05
Bwd IAT Total,0.00021300512988779445,7.192042811172915e-05,0.0014752725238846626,8.846665745216026e-05,0.002387448430456952,0.0,0.0003188057497449554,0.0,0.0,0.0,0.00011649639822084159,0.00016859720670004075,0.0,0.0003165524216836849
Active Std,0.00016332504224630693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.533001689852277e-05
Active Max,0.00013917555339277977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.567022135711191e-05
SYN Flag Count,0.00011945959832877502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.778383933151001e-05
Subflow Bwd Bytes,6.30097170086767e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.520388680347068e-05
Bwd URG Flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIN Flag Count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd PSH Flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd URG Flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSH Flag Count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd Avg Bulk Rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd Avg Bytes/Bulk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd Avg Packets/Bulk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd Avg Bytes/Bulk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd Avg Packets/Bulk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECE Flag Count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd Avg Bulk Rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
